DataHora,MelhorCusto,TempoExecucao_s,tamPopulacaoInicial,taxaMutacao,numMaxGeracoes,numElitismo,MelhorRota
2025-10-24 21:25:20,0.719,46.569,70,0.03,2000,10,Pizzaria -> 82 -> 7 -> 48 -> 71 -> 41 -> 28 -> 98 -> 86 -> 20 -> 36 -> 79 -> 62 -> 25 -> 80 -> 93 -> 87 -> 1 -> 51 -> 91 -> 15 -> 55 -> 31 -> 47 -> 99 -> 2 -> 45 -> 29 -> 42 -> 69 -> 61 -> 9 -> 73 -> 14 -> 37 -> 50 -> 67 -> 22 -> 59 -> 85 -> 84 -> 77 -> 5 -> 78 -> 3 -> 18 -> 57 -> 24 -> 74 -> 46 -> 23 -> 19 -> 76 -> 4 -> 65 -> 90 -> 58 -> 11 -> 35 -> 97 -> 33 -> 72 -> 68 -> 40 -> 100 -> 21 -> 26 -> 54 -> 75 -> 53 -> 88 -> 39 -> 66 -> 17 -> 60 -> 43 -> 44 -> 10 -> 95 -> 12 -> 94 -> 38 -> 63 -> 6 -> 49 -> 34 -> 27 -> 89 -> 64 -> 30 -> 70 -> 32 -> 52 -> 83 -> 16 -> 13 -> 92 -> 81 -> 56 -> 8 -> 96
2025-10-24 21:26:49,0.662,34.527,70,0.1,2000,10,Pizzaria -> 84 -> 54 -> 49 -> 53 -> 6 -> 34 -> 9 -> 88 -> 43 -> 89 -> 38 -> 7 -> 65 -> 5 -> 17 -> 25 -> 56 -> 46 -> 31 -> 69 -> 80 -> 74 -> 66 -> 45 -> 85 -> 68 -> 44 -> 40 -> 21 -> 91 -> 93 -> 61 -> 79 -> 33 -> 3 -> 94 -> 73 -> 36 -> 76 -> 18 -> 37 -> 28 -> 57 -> 12 -> 62 -> 1 -> 67 -> 11 -> 35 -> 97 -> 20 -> 99 -> 63 -> 78 -> 81 -> 48 -> 71 -> 70 -> 32 -> 23 -> 42 -> 52 -> 83 -> 82 -> 100 -> 30 -> 4 -> 87 -> 75 -> 8 -> 96 -> 77 -> 27 -> 2 -> 50 -> 29 -> 95 -> 41 -> 51 -> 60 -> 10 -> 22 -> 55 -> 59 -> 39 -> 24 -> 72 -> 92 -> 90 -> 58 -> 98 -> 86 -> 16 -> 13 -> 15 -> 19 -> 14 -> 64 -> 26 -> 47
2025-10-24 21:27:28,0.735,21.077,70,0.03,2000,15,Pizzaria -> 82 -> 81 -> 62 -> 88 -> 39 -> 34 -> 27 -> 49 -> 35 -> 5 -> 53 -> 97 -> 70 -> 36 -> 90 -> 15 -> 60 -> 20 -> 99 -> 17 -> 96 -> 14 -> 11 -> 76 -> 38 -> 13 -> 48 -> 6 -> 80 -> 95 -> 44 -> 89 -> 59 -> 8 -> 58 -> 55 -> 7 -> 12 -> 47 -> 72 -> 77 -> 41 -> 23 -> 42 -> 69 -> 51 -> 9 -> 73 -> 2 -> 87 -> 78 -> 65 -> 85 -> 71 -> 16 -> 25 -> 56 -> 54 -> 67 -> 83 -> 33 -> 100 -> 52 -> 37 -> 57 -> 29 -> 79 -> 91 -> 22 -> 1 -> 24 -> 86 -> 68 -> 40 -> 19 -> 50 -> 74 -> 84 -> 93 -> 98 -> 3 -> 28 -> 18 -> 75 -> 26 -> 10 -> 46 -> 31 -> 92 -> 43 -> 94 -> 64 -> 30 -> 4 -> 32 -> 21 -> 66 -> 45 -> 61 -> 63
2025-10-24 21:28:17,0.735,35.463,100,0.03,2000,10,Pizzaria -> 82 -> 59 -> 16 -> 25 -> 2 -> 87 -> 70 -> 32 -> 51 -> 49 -> 58 -> 98 -> 41 -> 94 -> 12 -> 47 -> 43 -> 64 -> 26 -> 45 -> 34 -> 86 -> 75 -> 79 -> 91 -> 66 -> 39 -> 5 -> 53 -> 76 -> 23 -> 8 -> 92 -> 95 -> 37 -> 30 -> 60 -> 88 -> 21 -> 78 -> 3 -> 18 -> 61 -> 17 -> 99 -> 63 -> 35 -> 19 -> 54 -> 11 -> 46 -> 62 -> 65 -> 52 -> 10 -> 22 -> 1 -> 29 -> 42 -> 83 -> 13 -> 24 -> 27 -> 44 -> 7 -> 50 -> 69 -> 9 -> 73 -> 89 -> 72 -> 77 -> 14 -> 97 -> 96 -> 67 -> 38 -> 20 -> 80 -> 81 -> 48 -> 71 -> 4 -> 56 -> 28 -> 57 -> 6 -> 85 -> 68 -> 40 -> 31 -> 36 -> 90 -> 33 -> 100 -> 15 -> 55 -> 74 -> 84 -> 93
